"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",14305,"리얼미터","에너지경제신문",2025-05-14,2025-05-16,"2.23%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16192&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",14303,"코리아정보리서치","천지일보",2025-05-15,2025-05-16,"1.46%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16184&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",14302,"코리아리서치인터내셔널","MBC",2025-05-14,2025-05-15,"5.19%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16183&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",14301,"여론조사공정","펜앤마이크",2025-05-14,2025-05-15,"1.26%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16182&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",14300,"한국갤럽","한국갤럽",2025-05-13,2025-05-15,"6.67%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16181&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",14299,"여론조사꽃","여론조사꽃",2025-05-14,2025-05-15,"4.58%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16180&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"7",14298,"리얼미터","미디어트리뷴",2025-05-13,2025-05-14,"2.64%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16179&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"8",14297,"한국리서치","KBS",2025-05-13,2025-05-15,"5.65%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16177&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"9",14295,"윈지코리아","서울의소리",2025-05-14,2025-05-14,"1.06%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16174&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"10",14291,"여론조사공정","데일리안",2025-05-13,2025-05-14,"1.28%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16167&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"11",14290,"한길리서치","폴리뉴스",2025-05-13,2025-05-14,"0.49%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16166&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"12",14286,"케이스탯리서치","전국지표조사(NBS)",2025-05-12,2025-05-14,"6.84%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16162&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
