"","등록번호","조사기관","조사의뢰자","시작일","종료일","국제기준응답률(AAPOR)","URL"
"1",14310,"입소스","한국경제신문",2025-05-16,2025-05-17,"4.4%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16196&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"2",14309,"KOPRA","아시아투데이",2025-05-17,2025-05-17,"2.7%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16195&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"3",14308,"여론조사꽃","여론조사꽃",2025-05-16,2025-05-17,"4.29%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16194&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"4",14307,"리서치민","뉴데일리",2025-05-16,2025-05-17,"1.47%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16193&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"5",14306,"한국사회여론연구소(KSOI)","CBS",2025-05-16,2025-05-17,"3.47%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16190&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"6",14305,"리얼미터","에너지경제신문",2025-05-14,2025-05-16,"2.23%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16192&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"7",14303,"코리아정보리서치","천지일보",2025-05-15,2025-05-16,"1.46%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16184&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"8",14302,"코리아리서치인터내셔널","MBC",2025-05-14,2025-05-15,"5.19%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16183&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"9",14301,"여론조사공정","펜앤마이크",2025-05-14,2025-05-15,"1.26%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16182&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"10",14300,"한국갤럽","한국갤럽",2025-05-13,2025-05-15,"6.67%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16181&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"11",14299,"여론조사꽃","여론조사꽃",2025-05-14,2025-05-15,"4.58%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16180&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
"12",14297,"한국리서치","KBS",2025-05-13,2025-05-15,"5.65%","https://nesdc.go.kr/portal/bbs/B0000005/view.do?nttId=16177&menuNo=200467&searchTime=1&sdate=&edate=&pdate=&pollGubuncd=&searchCnd=&searchWrd=&pageIndex=1"
